KYWD,2021,2022,2023,2024,2025,2026
non-face-to-face service,7.0,1.0,0.0,0.0,0.0,0.0
non-financial performance,5.0,0.0,5.0,4.0,0.0,3.0
non-fungible token,0.0,0.0,5.0,1.0,0.0,0.0
normative,8.0,3.0,7.0,11.0,7.0,8.0
norms,12.0,13.0,10.0,13.0,10.0,10.0
north,10.0,10.0,4.0,7.0,3.0,0.0
north chungcheong,0.0,10.0,4.0,8.0,14.0,11.0
north korea,57.0,45.0,55.0,54.0,44.0,43.0
north korea policy,0.0,6.0,1.0,0.0,0.0,0.0
north korea-china relations,0.0,8.0,8.0,6.0,9.0,7.0
north korea-russia relations,0.0,0.0,0.0,5.0,7.0,5.0
north korean,13.0,7.0,6.0,6.0,2.0,0.0
north korean defectors,8.0,9.0,6.0,7.0,8.0,7.0
north korean refugees,7.0,7.0,1.0,0.0,0.0,0.0
northeast asia,7.0,4.0,7.0,6.0,0.0,0.0
not,0.0,5.0,10.0,6.0,6.0,3.0
note,8.0,4.0,6.0,7.0,4.0,0.0
notice,8.0,6.0,14.0,5.0,8.0,4.0
notification,8.0,4.0,9.0,4.0,0.0,5.0
nstliche,0.0,0.0,0.0,7.0,1.0,0.0
nuclear,14.0,12.0,18.0,26.0,7.0,6.0
nuclear energy,0.0,0.0,0.0,5.0,2.0,0.0
nuclear weapons,0.0,8.0,4.0,6.0,2.0,0.0
number,6.0,1.0,5.0,6.0,1.0,0.0
nurse,9.0,3.0,5.0,5.0,3.0,0.0
nursing,5.0,6.0,4.0,0.0,0.0,0.0
o2o,9.0,3.0,5.0,1.0,0.0,0.0
obesity,0.0,0.0,6.0,2.0,0.0,0.0
object,6.0,9.0,4.0,10.0,3.0,0.0
objection,0.0,7.0,5.0,5.0,1.0,0.0
objective,10.0,6.0,2.0,5.0,6.0,5.0
obligation,34.0,23.0,24.0,20.0,25.0,24.0
obligations,11.0,6.0,5.0,6.0,11.0,9.0
occupation,0.0,5.0,6.0,4.0,0.0,5.0
occupational,12.0,14.0,13.0,16.0,9.0,9.0
ocean,0.0,0.0,5.0,1.0,0.0,0.0
oda,12.0,6.0,10.0,6.0,6.0,3.0
oder,6.0,1.0,0.0,0.0,0.0,0.0
oecd,12.0,10.0,12.0,16.0,11.0,11.0
off,9.0,6.0,7.0,7.0,7.0,5.0
offender,0.0,7.0,7.0,3.0,0.0,0.0
offense,0.0,0.0,5.0,5.0,11.0,9.0
offer,0.0,0.0,6.0,1.0,0.0,0.0
office,11.0,7.0,7.0,7.0,12.0,11.0
officer,11.0,5.0,9.0,11.0,10.0,11.0
officers,5.0,8.0,8.0,8.0,2.0,0.0
official,7.0,10.0,4.0,0.0,0.0,8.0
officially,0.0,5.0,1.0,0.0,0.0,0.0
officials,7.0,6.0,9.0,11.0,4.0,0.0
offset,5.0,2.0,0.0,0.0,0.0,0.0
oil,0.0,5.0,3.0,0.0,0.0,0.0
old,0.0,5.0,2.0,5.0,3.0,0.0
old age,0.0,0.0,5.0,3.0,0.0,0.0
older adults living alone,6.0,6.0,6.0,3.0,0.0,4.0
older adults with disabilities,0.0,0.0,0.0,5.0,2.0,0.0
ols,0.0,0.0,5.0,2.0,0.0,0.0
omission,0.0,6.0,4.0,0.0,0.0,5.0
omni-channel,0.0,0.0,0.0,5.0,0.0,0.0
one,10.0,4.0,5.0,8.0,8.0,7.0
online,27.0,31.0,19.0,20.0,22.0,19.0
online class,6.0,5.0,2.0,0.0,0.0,0.0
online community,0.0,6.0,8.0,1.0,0.0,0.0
online education,12.0,15.0,9.0,3.0,0.0,0.0
online platform,10.0,7.0,12.0,12.0,4.0,0.0
online review,11.0,6.0,11.0,10.0,11.0,9.0
online shopping,0.0,0.0,5.0,2.0,0.0,0.0
online shopping mall,6.0,3.0,0.0,5.0,0.0,0.0
ontological security,0.0,0.0,0.0,5.0,2.0,0.0
ontology,6.0,4.0,0.0,0.0,0.0,0.0
open,0.0,5.0,2.0,0.0,0.0,6.0
open innovation,0.0,0.0,5.0,5.0,7.0,5.0
opening,13.0,3.0,0.0,5.0,0.0,0.0
opening remarks,11.0,0.0,0.0,0.0,0.0,0.0
openness,0.0,0.0,8.0,3.0,0.0,0.0
operating,0.0,0.0,0.0,7.0,2.0,0.0
operation,17.0,12.0,14.0,9.0,16.0,11.0
operational,5.0,6.0,2.0,11.0,10.0,9.0
operations,7.0,8.0,12.0,9.0,8.0,6.0
operator,0.0,0.0,0.0,7.0,11.0,9.0
opinion,7.0,6.0,7.0,5.0,7.0,4.0
opportunities,5.0,0.0,0.0,0.0,0.0,0.0
opportunity,12.0,4.0,9.0,4.0,0.0,0.0
optimization,7.0,3.0,9.0,7.0,10.0,8.0
option,0.0,5.0,3.0,0.0,0.0,4.0
or,21.0,18.0,30.0,19.0,19.0,15.0
order,26.0,24.0,41.0,31.0,33.0,27.0
ordered logit model,9.0,1.0,0.0,0.0,0.0,0.0
orders,0.0,0.0,0.0,5.0,3.0,0.0
ordinance,6.0,9.0,11.0,16.0,19.0,18.0
ordinary,9.0,6.0,4.0,6.0,6.0,4.0
organization,46.0,36.0,35.0,36.0,28.0,29.0
organization-based self-esteem,0.0,5.0,3.0,0.0,0.0,0.0
organizational change,0.0,0.0,5.0,2.0,0.0,0.0
organizational citizenship behavior,20.0,21.0,23.0,18.0,15.0,13.0
organizational commitment,59.0,50.0,34.0,30.0,42.0,35.0
organizational culture,23.0,13.0,17.0,23.0,20.0,20.0
organizational effectiveness,11.0,11.0,5.0,5.0,7.0,5.0
organizational fairness,0.0,5.0,4.0,0.0,0.0,0.0
organizational identification,6.0,5.0,6.0,5.0,0.0,0.0
organizational justice,7.0,7.0,6.0,6.0,12.0,10.0
organizational performance,9.0,22.0,12.0,10.0,7.0,5.0
organizational silence,5.0,2.0,6.0,5.0,5.0,0.0
organizational structure,0.0,0.0,5.0,2.0,0.0,0.0
organizational trust,10.0,12.0,13.0,4.0,0.0,0.0
orientation,5.0,6.0,5.0,3.0,0.0,0.0
oriented,0.0,0.0,5.0,0.0,0.0,0.0
origin,7.0,2.0,0.0,0.0,0.0,0.0
originality,0.0,6.0,0.0,0.0,0.0,0.0
other,8.0,8.0,6.0,11.0,3.0,0.0
ott,10.0,13.0,21.0,20.0,20.0,20.0
ott service,5.0,4.0,5.0,3.0,0.0,0.0
out,9.0,5.0,8.0,6.0,3.0,0.0
out-of-school youth,6.0,3.0,6.0,4.0,0.0,5.0
outer,0.0,0.0,0.0,6.0,1.0,0.0
output,0.0,0.0,5.0,6.0,5.0,5.0
outside,0.0,0.0,0.0,5.0,1.0,0.0
outside directors,5.0,0.0,0.0,0.0,0.0,0.0
outsourcing,0.0,0.0,5.0,4.0,0.0,0.0
over,13.0,8.0,10.0,12.0,11.0,10.0
overall satisfaction,0.0,0.0,5.0,0.0,0.0,0.0
overconfidence,5.0,4.0,7.0,4.0,0.0,0.0
overseas,6.0,8.0,7.0,4.0,0.0,4.0
overseas direct purchase,0.0,0.0,5.0,3.0,0.0,0.0
overtime,0.0,0.0,0.0,7.0,0.0,0.0
overtourism,5.0,3.0,0.0,0.0,0.0,0.0
owned,5.0,4.0,6.0,5.0,4.0,0.0
owner,11.0,8.0,8.0,8.0,9.0,8.0
ownership,29.0,25.0,23.0,20.0,27.0,24.0
ownership structure,6.0,2.0,0.0,0.0,0.0,0.0
p,5.0,4.0,11.0,3.0,0.0,0.0
pacific,0.0,5.0,3.0,6.0,3.0,0.0
paid,7.0,2.0,9.0,4.0,0.0,5.0
pakistan,5.0,3.0,6.0,2.0,0.0,0.0
palestine,0.0,0.0,0.0,6.0,0.0,0.0
pandemic,46.0,23.0,20.0,10.0,11.0,6.0
panel,15.0,13.0,6.0,11.0,14.0,12.0
panel analysis,7.0,9.0,12.0,6.0,6.0,3.0
panel data,5.0,5.0,7.0,2.0,0.0,0.0
panel model,0.0,0.0,0.0,5.0,0.0,0.0
panel regression analysis,9.0,8.0,6.0,10.0,6.0,6.0
paper,0.0,0.0,0.0,7.0,1.0,0.0
paper metaverse,0.0,0.0,6.0,0.0,0.0,0.0
paradigm,0.0,5.0,3.0,0.0,0.0,0.0
paradox,5.0,1.0,0.0,0.0,0.0,3.0
parallel,0.0,0.0,6.0,1.0,0.0,0.0
parent,5.0,3.0,5.0,1.0,0.0,0.0
parental,0.0,0.0,6.0,8.0,3.0,0.0
parenting attitude,0.0,0.0,6.0,4.0,0.0,0.0
parenting efficacy,0.0,0.0,5.0,3.0,0.0,0.0
parenting stress,5.0,4.0,6.0,5.0,3.0,0.0
parents,12.0,15.0,5.0,9.0,7.0,7.0
paris,0.0,0.0,0.0,6.0,3.0,0.0
park,5.0,2.0,5.0,8.0,2.0,0.0
park chung-hee,0.0,6.0,1.0,0.0,0.0,0.0
park green,0.0,0.0,0.0,7.0,0.0,0.0
parliamentary,6.0,4.0,0.0,0.0,0.0,4.0
part,0.0,0.0,6.0,3.0,0.0,4.0
partial,0.0,0.0,5.0,3.0,0.0,0.0
participate,0.0,0.0,7.0,2.0,0.0,0.0
participation,23.0,21.0,22.0,17.0,21.0,16.0
participation motivation,0.0,5.0,5.0,4.0,0.0,0.0
participatory budgeting,0.0,6.0,1.0,0.0,0.0,0.0
particulate matter,7.0,6.0,1.0,0.0,0.0,0.0
parties,10.0,4.0,6.0,5.0,7.0,4.0
partisanship,0.0,0.0,7.0,8.0,5.0,6.0
partner,0.0,0.0,0.0,5.0,7.0,6.0
partnership,9.0,8.0,12.0,7.0,14.0,11.0
party,19.0,20.0,27.0,28.0,26.0,27.0
passive,0.0,7.0,2.0,0.0,0.0,0.0
past,0.0,0.0,5.0,2.0,0.0,0.0
patent,33.0,31.0,29.0,36.0,27.0,27.0
path,0.0,6.0,3.0,0.0,0.0,4.0
path analysis,0.0,0.0,0.0,5.0,4.0,0.0
path dependence,6.0,5.0,8.0,4.0,0.0,0.0
patriarchy,5.0,3.0,6.0,6.0,3.0,0.0
pay,5.0,7.0,15.0,7.0,12.0,8.0
payment,24.0,24.0,23.0,21.0,25.0,23.0
pb,0.0,0.0,0.0,5.0,0.0,0.0
pbl,0.0,0.0,0.0,7.0,6.0,6.0
peace,17.0,17.0,16.0,16.0,11.0,12.0
peace agreement,0.0,0.0,5.0,0.0,0.0,0.0
peace on the korean peninsula,5.0,3.0,5.0,1.0,0.0,0.0
peaceful unification,0.0,0.0,0.0,5.0,0.0,0.0
peak,0.0,0.0,5.0,2.0,0.0,0.0
peer attachment,0.0,0.0,5.0,1.0,0.0,0.0
peer relationships,5.0,4.0,8.0,9.0,3.0,0.0
penal,5.0,2.0,0.0,0.0,0.0,0.0
penalty,10.0,21.0,16.0,11.0,8.0,5.0
pension,11.0,14.0,9.0,9.0,16.0,12.0
pension reform,0.0,6.0,2.0,0.0,0.0,4.0
people,12.0,14.0,21.0,11.0,5.0,3.0
people with developmental disabilities,6.0,4.0,5.0,3.0,0.0,0.0
people with disabilities,6.0,7.0,10.0,7.0,8.0,5.0
perceived,7.0,4.0,0.0,0.0,0.0,0.0
perceived benefit,5.0,6.0,7.0,5.0,5.0,3.0
perceived ease of use,9.0,4.0,0.0,6.0,3.0,0.0
perceived organizational support,10.0,5.0,11.0,8.0,6.0,4.0
perceived risk,16.0,15.0,10.0,13.0,13.0,10.0
perceived stress,0.0,5.0,4.0,0.0,0.0,0.0
perceived usefulness,21.0,12.0,13.0,15.0,10.0,11.0
perceived value,40.0,43.0,42.0,34.0,32.0,26.0
perception,15.0,25.0,6.0,16.0,6.0,7.0
perfectionistic self-presentation,0.0,0.0,5.0,2.0,0.0,0.0
performance evaluation,6.0,5.0,3.0,5.0,5.0,0.0
performance feedback,0.0,0.0,0.0,6.0,0.0,0.0
period,21.0,11.0,17.0,8.0,16.0,11.0
permanent,0.0,7.0,8.0,6.0,6.0,4.0
permission,9.0,4.0,6.0,9.0,4.0,0.0
permit,9.0,2.0,6.0,7.0,5.0,5.0
person,22.0,19.0,23.0,21.0,12.0,10.0
person-job fit,6.0,3.0,0.0,0.0,0.0,0.0
personal,44.0,38.0,48.0,56.0,41.0,38.0
personal information,0.0,0.0,0.0,5.0,4.0,0.0
personality,10.0,12.0,14.0,16.0,11.0,10.0
personalization,0.0,0.0,6.0,6.0,4.0,0.0
personalized learning,0.0,0.0,0.0,5.0,3.0,0.0
personnel,0.0,5.0,4.0,5.0,8.0,7.0
persons,11.0,13.0,7.0,11.0,9.0,8.0
persuasion,0.0,0.0,5.0,0.0,0.0,0.0
petition,0.0,0.0,5.0,3.0,0.0,0.0
pharmaceutical,0.0,0.0,5.0,4.0,0.0,0.0
phenomenological study,23.0,19.0,26.0,22.0,35.0,32.0
philippines,0.0,0.0,6.0,7.0,3.0,0.0
philosophy,6.0,3.0,7.0,2.0,0.0,4.0
photovoice,0.0,0.0,0.0,7.0,4.0,0.0
physical,0.0,5.0,7.0,5.0,6.0,4.0
physical activity,6.0,10.0,7.0,7.0,8.0,7.0
physical education,17.0,8.0,18.0,11.0,8.0,5.0
physical education class,8.0,6.0,9.0,7.0,6.0,4.0
physical education teacher,7.0,4.0,0.0,0.0,0.0,0.0
physical environment,0.0,0.0,0.0,8.0,5.0,5.0
physical fitness,0.0,7.0,2.0,0.0,0.0,0.0
picture books,0.0,8.0,5.0,4.0,0.0,4.0
pillar,0.0,0.0,0.0,6.0,3.0,0.0
place,5.0,9.0,8.0,7.0,9.0,6.0
place attachment,10.0,4.0,10.0,4.0,0.0,9.0
placeness,6.0,4.0,0.0,0.0,0.0,0.0
plan,16.0,20.0,21.0,17.0,15.0,14.0
planned cities,0.0,0.0,0.0,6.0,0.0,0.0
planning,13.0,12.0,23.0,22.0,16.0,15.0
plans,0.0,0.0,0.0,5.0,1.0,0.0
platform,54.0,55.0,56.0,51.0,49.0,47.0
platform labor,0.0,0.0,5.0,3.0,0.0,5.0
platform workers,0.0,5.0,2.0,0.0,0.0,0.0
play,8.0,1.0,8.0,8.0,4.0,0.0
play support competency,0.0,0.0,6.0,3.0,0.0,0.0
play teaching efficacy,0.0,0.0,7.0,1.0,0.0,0.0
play-based curriculum,0.0,5.0,5.0,1.0,0.0,0.0
playfulness,6.0,8.0,12.0,6.0,3.0,0.0
pledge,6.0,6.0,5.0,0.0,0.0,0.0
pluralism,0.0,0.0,9.0,3.0,0.0,0.0
pms,0.0,5.0,0.0,0.0,0.0,0.0
point,0.0,0.0,0.0,7.0,8.0,7.0
polarization,0.0,6.0,10.0,9.0,9.0,8.0
police,27.0,26.0,36.0,29.0,33.0,29.0
policing,0.0,0.0,7.0,4.0,0.0,4.0
policy,55.0,68.0,71.0,85.0,76.0,71.0
policy change,12.0,5.0,5.0,5.0,2.0,0.0
policy direction,0.0,5.0,2.0,0.0,0.0,0.0
policy evaluation,11.0,6.0,3.0,5.0,2.0,0.0
policy implementation,6.0,2.0,0.0,8.0,8.0,6.0
policy suggestions,0.0,5.0,3.0,0.0,0.0,0.0
policy support,5.0,3.0,0.0,0.0,0.0,0.0
policy trends,0.0,0.0,6.0,0.0,0.0,0.0
political,32.0,32.0,18.0,31.0,28.0,27.0
political efficacy,0.0,0.0,5.0,4.0,0.0,0.0
political orientation,7.0,6.0,7.0,1.0,0.0,4.0
political participation,5.0,5.0,4.0,5.0,8.0,6.0
political party,0.0,0.0,6.0,2.0,0.0,4.0
political polarization,0.0,5.0,5.0,5.0,3.0,0.0
pollution,5.0,4.0,9.0,4.0,0.0,5.0
popular election,0.0,6.0,1.0,0.0,0.0,0.0
population,5.0,6.0,15.0,19.0,11.0,11.0
population aging,0.0,5.0,7.0,4.0,0.0,4.0
population decline,0.0,0.0,13.0,18.0,18.0,17.0
population migration,0.0,0.0,0.0,5.0,2.0,0.0
population movement,0.0,0.0,0.0,5.0,3.0,0.0
population policy,0.0,0.0,0.0,6.0,1.0,0.0
populism,10.0,14.0,12.0,8.0,11.0,8.0
port,9.0,9.0,2.0,0.0,0.0,0.0
port efficiency,0.0,0.0,5.0,1.0,0.0,0.0
portal,0.0,6.0,2.0,0.0,0.0,0.0
portfolio,7.0,5.0,2.0,0.0,0.0,3.0
position,7.0,5.0,2.0,0.0,0.0,0.0
positive,0.0,0.0,5.0,3.0,0.0,0.0
positive emotion,6.0,5.0,5.0,1.0,0.0,2.0
positive psychological capital,19.0,15.0,10.0,15.0,9.0,10.0
positivism,5.0,0.0,0.0,6.0,0.0,0.0
possession,0.0,0.0,0.0,5.0,3.0,0.0
post,13.0,10.0,9.0,10.0,6.0,6.0
post corona,8.0,1.0,0.0,0.0,0.0,0.0
post-traumatic growth,0.0,7.0,3.0,5.0,5.0,4.0
posthumanism,0.0,5.0,2.0,0.0,0.0,0.0
poverty,12.0,10.0,12.0,7.0,9.0,6.0
power,52.0,44.0,50.0,43.0,50.0,39.0
pr,10.0,4.0,5.0,4.0,0.0,0.0
practical,0.0,0.0,0.0,5.0,5.0,0.0
practice,16.0,11.0,17.0,13.0,14.0,12.0
practices,13.0,8.0,0.0,12.0,4.0,0.0
pre,0.0,0.0,12.0,6.0,7.0,4.0
pre-service early childhood teacher,10.0,12.0,18.0,15.0,6.0,4.0
pre-service teacher,11.0,3.0,12.0,10.0,8.0,6.0
precautionary,0.0,0.0,0.0,6.0,1.0,0.0
precedents,7.0,4.0,9.0,9.0,4.0,0.0
predictability,5.0,2.0,0.0,0.0,0.0,0.0
prediction,0.0,7.0,7.0,5.0,6.0,5.0
preface,0.0,0.0,0.0,5.0,1.0,0.0
preference,6.0,2.0,5.0,4.0,0.0,0.0
preferential,6.0,2.0,0.0,0.0,0.0,0.0
preliminary,0.0,0.0,7.0,5.0,8.0,7.0
premium,0.0,8.0,9.0,4.0,0.0,0.0
preparedness,0.0,5.0,0.0,0.0,0.0,0.0
prescription,11.0,7.0,7.0,4.0,0.0,5.0
presence,0.0,0.0,10.0,3.0,0.0,4.0
presentation,0.0,0.0,0.0,7.0,0.0,0.0
preservation,7.0,5.0,7.0,5.0,3.0,0.0
preservice early childhood teachers,0.0,0.0,6.0,1.0,0.0,0.0
president,0.0,8.0,5.0,3.0,0.0,4.0
presidential,6.0,3.0,7.0,6.0,10.0,8.0
presidential election,9.0,10.0,4.0,15.0,5.0,0.0
press,13.0,5.0,7.0,2.0,0.0,4.0
press arbitration act,7.0,2.0,0.0,0.0,0.0,0.0
presumption,0.0,0.0,5.0,8.0,8.0,7.0
prevention,41.0,36.0,28.0,31.0,22.0,19.0
preventive behaviors,0.0,0.0,5.0,0.0,0.0,0.0
price,45.0,31.0,39.0,34.0,28.0,24.0
price fairness,6.0,2.0,0.0,0.0,0.0,0.0
prices,0.0,12.0,5.0,5.0,3.0,0.0
pricing,5.0,2.0,8.0,5.0,6.0,5.0
primary,8.0,1.0,0.0,5.0,1.0,0.0
principal,5.0,4.0,5.0,9.0,7.0,7.0
principal component analysis,0.0,5.0,1.0,0.0,0.0,0.0
principles,15.0,9.0,15.0,12.0,14.0,11.0
prior,0.0,5.0,4.0,7.0,7.0,5.0
priority,14.0,2.0,0.0,11.0,5.0,0.0
privacy,21.0,25.0,21.0,18.0,18.0,16.0
privacy concerns,5.0,3.0,7.0,5.0,1.0,0.0
privacy paradox,5.0,1.0,0.0,0.0,0.0,0.0
private,39.0,27.0,45.0,33.0,41.0,32.0
privatization,0.0,9.0,6.0,5.0,2.0,0.0
privilege,6.0,2.0,0.0,0.0,0.0,0.0
pro,5.0,2.0,0.0,0.0,0.0,0.0
pro-environmental behavior,0.0,5.0,5.0,2.0,0.0,0.0
proactive administration,0.0,0.0,0.0,5.0,4.0,0.0
probation,0.0,6.0,3.0,0.0,0.0,0.0
problem,12.0,9.0,8.0,3.0,0.0,0.0
problem-based learning,5.0,7.0,3.0,5.0,6.0,4.0
problems,5.0,3.0,0.0,0.0,0.0,0.0
procedural,15.0,10.0,8.0,9.0,13.0,11.0
procedural justice,7.0,5.0,2.0,0.0,0.0,0.0
procedures,6.0,10.0,9.0,11.0,19.0,17.0
proceedings,9.0,8.0,6.0,4.0,0.0,0.0
processing,0.0,6.0,10.0,7.0,4.0,0.0
procurement,0.0,7.0,5.0,7.0,4.0,0.0
product,14.0,8.0,13.0,13.0,10.0,9.0
production,6.0,2.0,8.0,3.0,0.0,5.0
productivity,15.0,11.0,9.0,5.0,10.0,7.0
products,6.0,6.0,10.0,11.0,4.0,0.0
professional,9.0,3.0,7.0,11.0,6.0,6.0
professionalism,15.0,13.0,7.0,8.0,2.0,0.0
professor,5.0,1.0,0.0,0.0,0.0,0.0
profit,22.0,25.0,15.0,21.0,16.0,15.0
profitability,0.0,9.0,4.0,6.0,5.0,4.0
program,13.0,10.0,9.0,11.0,9.0,8.0
program development,0.0,9.0,3.0,6.0,5.0,5.0
prohibition,30.0,16.0,13.0,20.0,19.0,19.0
project,13.0,22.0,18.0,32.0,20.0,24.0
project-based learning,0.0,0.0,0.0,7.0,6.0,5.0
projects,5.0,3.0,5.0,6.0,4.0,0.0
promotion,18.0,12.0,22.0,16.0,21.0,16.0
prompt,0.0,0.0,5.0,5.0,1.0,0.0
proof,13.0,6.0,10.0,22.0,10.0,14.0
propensity score matching,8.0,12.0,14.0,10.0,3.0,0.0
property,53.0,53.0,48.0,48.0,49.0,48.0
property rights,0.0,5.0,2.0,0.0,0.0,0.0
proportionality,14.0,12.0,23.0,15.0,18.0,15.0
proposal,5.0,4.0,0.0,0.0,0.0,3.0
proptech,0.0,0.0,6.0,1.0,0.0,0.0
prosecution,13.0,6.0,3.0,0.0,0.0,4.0
prosecutor,0.0,6.0,4.0,0.0,0.0,0.0
prospect theory,0.0,0.0,0.0,10.0,2.0,0.0
prostitution,6.0,3.0,0.0,0.0,0.0,0.0
protect,8.0,1.0,6.0,8.0,3.0,0.0
protected,0.0,0.0,0.0,7.0,1.0,0.0
protection,114.0,111.0,102.0,120.0,128.0,123.0
protectionism,0.0,0.0,5.0,2.0,0.0,0.0
protective,0.0,0.0,0.0,8.0,5.0,6.0
protest,6.0,9.0,0.0,0.0,0.0,0.0
protocol,7.0,1.0,0.0,5.0,3.0,0.0
provider,9.0,7.0,5.0,6.0,6.0,4.0
provincial,0.0,5.0,0.0,0.0,0.0,0.0
provincial government,0.0,5.0,0.0,0.0,0.0,0.0
provision,8.0,14.0,9.0,9.0,6.0,6.0
provisional,6.0,6.0,9.0,14.0,4.0,0.0
provisional government of the republic of korea,0.0,0.0,0.0,5.0,1.0,0.0
provisions,10.0,9.0,13.0,12.0,3.0,0.0
psm,10.0,6.0,6.0,5.0,7.0,6.0
psychological,5.0,5.0,8.0,10.0,5.0,6.0
psychological burnout,0.0,0.0,0.0,8.0,2.0,0.0
psychological capital,0.0,0.0,0.0,6.0,4.0,0.0
psychological contract violation,0.0,5.0,2.0,0.0,0.0,0.0
psychological distance,0.0,0.0,6.0,1.0,0.0,6.0
psychological empowerment,5.0,11.0,11.0,8.0,3.0,0.0
psychological ownership,6.0,8.0,10.0,7.0,3.0,0.0
psychological reactance,0.0,0.0,5.0,3.0,0.0,0.0
psychological safety,0.0,6.0,8.0,6.0,6.0,3.0
psychological well-being,9.0,15.0,15.0,15.0,15.0,13.0
psychology,5.0,4.0,7.0,1.0,0.0,0.0
public,109.0,117.0,108.0,113.0,105.0,110.0
public broadcasting,0.0,5.0,12.0,6.0,3.0,0.0
public campaign,0.0,5.0,0.0,0.0,0.0,0.0
public conflict,6.0,1.0,5.0,1.0,0.0,3.0
public diplomacy,11.0,8.0,8.0,5.0,6.0,3.0
public housing,0.0,0.0,5.0,1.0,0.0,0.0
public interest,0.0,5.0,1.0,0.0,0.0,0.0
public opinion,7.0,4.0,13.0,9.0,8.0,5.0
public pension,0.0,6.0,2.0,0.0,0.0,0.0
public rental housing,0.0,0.0,7.0,11.0,4.0,0.0
public sector,0.0,5.0,2.0,0.0,0.0,5.0
public service motivation,15.0,10.0,7.0,9.0,15.0,13.0
public sphere,0.0,0.0,5.0,7.0,5.0,5.0
public value,5.0,2.0,6.0,2.0,0.0,0.0
public-private partnership,0.0,0.0,5.0,6.0,7.0,6.0
publication,7.0,1.0,0.0,0.0,0.0,0.0
publicity,9.0,7.0,3.0,6.0,3.0,0.0
publicness,12.0,7.0,8.0,11.0,9.0,8.0
publishing,0.0,0.0,6.0,3.0,0.0,0.0
punishment,30.0,28.0,25.0,31.0,18.0,19.0
punitive,15.0,4.0,7.0,5.0,5.0,3.0
purchase,6.0,9.0,3.0,9.0,11.0,9.0
purchase intention,48.0,59.0,58.0,38.0,55.0,53.0
purchasing behavior,0.0,0.0,0.0,6.0,3.0,0.0
purpose,21.0,13.0,13.0,15.0,5.0,6.0
putin,0.0,5.0,3.0,5.0,1.0,0.0
q,19.0,19.0,22.0,18.0,11.0,10.0
q methodology,19.0,16.0,18.0,16.0,10.0,9.0
qualification,0.0,0.0,9.0,2.0,0.0,0.0
qualified,5.0,1.0,0.0,0.0,0.0,3.0
qualitative case study,10.0,12.0,10.0,7.0,16.0,12.0
qualitative content analysis,0.0,0.0,0.0,5.0,5.0,4.0
qualitative research,35.0,35.0,39.0,36.0,44.0,42.0
quality,10.0,8.0,15.0,11.0,6.0,5.0
quality characteristics,0.0,7.0,3.0,10.0,10.0,8.0
quality of life,21.0,29.0,24.0,24.0,15.0,15.0
quasi,11.0,9.0,3.0,6.0,9.0,7.0
question,0.0,0.0,6.0,2.0,0.0,0.0
r,22.0,26.0,26.0,23.0,26.0,22.0
r&amp;d,14.0,9.0,5.0,15.0,10.0,14.0
r&amp;d investment,5.0,4.0,0.0,0.0,0.0,0.0
racism,0.0,0.0,6.0,5.0,3.0,0.0
raising,0.0,5.0,3.0,0.0,0.0,0.0
random,0.0,6.0,4.0,0.0,0.0,0.0
random forest,6.0,7.0,5.0,8.0,14.0,13.0
rape,0.0,0.0,9.0,2.0,0.0,0.0
rapport,0.0,0.0,6.0,3.0,0.0,0.0
rasch,0.0,0.0,0.0,5.0,0.0,0.0
rasch model,5.0,4.0,0.0,0.0,0.0,0.0
rate,25.0,23.0,32.0,33.0,30.0,27.0
rates,0.0,5.0,1.0,0.0,0.0,0.0
rating,5.0,3.0,6.0,7.0,2.0,0.0
ratings,7.0,1.0,0.0,0.0,0.0,0.0
ratio,6.0,10.0,10.0,13.0,11.0,11.0
rationality,0.0,8.0,7.0,9.0,7.0,6.0
rawls,6.0,4.0,0.0,0.0,0.0,0.0
rcep,9.0,10.0,6.0,5.0,7.0,6.0
re,11.0,12.0,10.0,7.0,3.0,0.0
reading,8.0,2.0,0.0,5.0,2.0,0.0
reading comprehension,5.0,2.0,0.0,6.0,1.0,0.0
real,34.0,31.0,30.0,33.0,31.0,29.0
real earnings management,0.0,5.0,1.0,0.0,0.0,0.0
real estate,5.0,3.0,15.0,20.0,1.0,0.0
realism,7.0,8.0,6.0,6.0,3.0,0.0
reality,6.0,7.0,7.0,1.0,0.0,0.0
realization,0.0,5.0,4.0,0.0,0.0,0.0
reason,7.0,8.0,3.0,0.0,0.0,0.0
reasonable,7.0,6.0,5.0,5.0,5.0,4.0
reasoning,0.0,0.0,6.0,2.0,0.0,0.0
reasons,5.0,2.0,0.0,5.0,4.0,0.0
recht,6.0,6.0,6.0,8.0,11.0,10.0
reciprocity,6.0,10.0,6.0,7.0,7.0,5.0
recognition,22.0,19.0,20.0,20.0,17.0,17.0
recommendation,6.0,5.0,4.0,0.0,0.0,7.0
recommendation intention,13.0,6.0,12.0,6.0,3.0,0.0
reconciliation,0.0,0.0,0.0,7.0,7.0,5.0
reconstruction,7.0,7.0,9.0,12.0,10.0,11.0
recording,0.0,0.0,0.0,5.0,2.0,0.0
recovery,14.0,5.0,7.0,10.0,6.0,6.0
recruitment,0.0,7.0,2.0,0.0,0.0,5.0
redevelopment,5.0,6.0,15.0,10.0,12.0,8.0
redistribution,0.0,0.0,0.0,5.0,4.0,0.0
reduction,13.0,10.0,10.0,10.0,18.0,16.0
